"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","04.04.2022 05:30 - 04.04.2022 05:45 (CET/CEST)","4229","11356","n/e","4327","5254","293","n/e","n/e","21","158","1068","958","32","n/e","4105","315","127","0","851","4718","26361"
"BZN|DE-LU","04.04.2022 05:45 - 04.04.2022 06:00 (CET/CEST)","4218","11554","n/e","4316","5426","293","n/e","n/e","21","546","550","954","76","n/e","4086","315","127","0","854","4567","26882"
"BZN|DE-LU","04.04.2022 06:00 - 04.04.2022 06:15 (CET/CEST)","4218","11790","n/e","4599","5665","293","n/e","n/e","21","1123","393","950","76","n/e","3918","315","127","0","848","4644","28660"
"BZN|DE-LU","04.04.2022 06:15 - 04.04.2022 06:30 (CET/CEST)","4203","11907","n/e","4642","5804","293","n/e","n/e","21","2217","112","939","93","n/e","4085","315","127","0","850","4646","29767"
"BZN|DE-LU","04.04.2022 06:30 - 04.04.2022 06:45 (CET/CEST)","4223","12108","n/e","4680","5870","293","n/e","n/e","21","2939","196","939","108","n/e","4112","315","127","14","848","4534","30658"
"BZN|DE-LU","04.04.2022 06:45 - 04.04.2022 07:00 (CET/CEST)","4216","12251","n/e","4703","5897","293","n/e","n/e","21","2994","206","948","113","n/e","4110","315","127","93","849","4220","31225"
"BZN|DE-LU","04.04.2022 07:00 - 04.04.2022 07:15 (CET/CEST)","4226","11995","n/e","4605","5549","293","n/e","n/e","21","2336","260","953","114","n/e","4109","315","127","347","834","4415","31684"
"BZN|DE-LU","04.04.2022 07:15 - 04.04.2022 07:30 (CET/CEST)","4229","11991","n/e","4591","5166","293","n/e","n/e","21","2794","252","937","76","n/e","4108","315","127","894","833","4695","32023"
"BZN|DE-LU","04.04.2022 07:30 - 04.04.2022 07:45 (CET/CEST)","4221","12015","n/e","4579","5177","293","n/e","n/e","21","2671","341","944","74","n/e","4107","307","124","1691","832","4714","32434"
"BZN|DE-LU","04.04.2022 07:45 - 04.04.2022 08:00 (CET/CEST)","4232","11920","n/e","4521","5192","293","n/e","n/e","21","2661","502","946","37","n/e","4107","304","122","2720","829","4715","32732"
